SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CHSW,0,0,0,0,0,0,0,NA,0,1,0,0,NA,0,0,0,1,0,0,0,1,0,0,0,0
CLSW,0,2,5,0,0,0,0,1,0,0,2,3,NA,0,0,11,0,0,3,1,0,22,0,0,0
CMWA,29,7,11,4,4,3,5,2,2,6,9,28,NA,5,14,13,11,23,19,10,33,16,10,30,32
COGA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COGO,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
COGR,243,325,285,255,322,216,238,325,335,294,509,447,NA,498,622,348,276,357,307,308,362,375,243,311,245
COHA,0,0,0,0,0,0,0,0,2,2,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0
COLO,0,0,0,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
COME,0,0,0,0,0,0,0,0,0,0,0,0,NA,57,0,0,0,0,0,0,0,0,0,0,0
COMO,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CONI,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0
CONW,1,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA
CORA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CORE,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COSN,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,3,0,0,0,0,0,0,0,0,0
COTE,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
COYE,146,188,207,270,237,215,147,187,127,363,168,184,NA,168,325,248,423,376,243,389,326,201,184,274,192
CSWA,103,58,85,84,86,72,87,61,85,97,119,91,NA,66,120,137,85,158,102,139,131,104,62,74,114
CUCK,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CWWI,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCCO,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
DEJU,289,734,393,660,390,500,152,303,89,110,521,423,NA,131,768,148,NA,NA,440,221,323,NA,473,733,391
DICK,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOWO,5,22,15,15,25,23,5,8,4,9,17,14,NA,16,12,14,19,10,40,17,30,34,26,29,18
DOWS,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA
DUNL,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
EABL,0,2,4,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAKI,15,7,10,11,28,12,15,14,7,17,22,17,NA,19,18,12,15,21,12,13,29,33,29,26,22
EAME,1,2,3,0,1,1,0,0,0,0,3,1,NA,1,0,2,1,1,0,0,0,0,0,0,1
EAPH,66,23,20,19,24,72,22,27,12,7,16,14,NA,5,78,12,19,21,50,19,27,35,45,64,46
EASO,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EATO,54,61,17,38,19,21,21,26,22,21,38,31,NA,32,50,47,88,26,268,63,44,38,25,26,35
EAWP,51,46,30,38,55,25,29,35,36,50,44,29,NA,30,56,59,63,44,47,83,75,38,19,78,43
ECDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
EUCD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUST,38,45,16,24,27,26,21,27,78,32,40,32,NA,42,54,15,39,40,52,23,50,12,6,29,20
EUWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVGR,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWPW,0,3,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWWR,53,79,54,86,115,55,19,18,20,20,59,45,NA,76,35,40,22,22,16,39,14,61,NA,NA,NA
FICR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FISP,78,64,54,59,51,69,26,42,17,27,75,86,NA,65,125,69,79,85,180,72,87,75,65,92,61
FOSP,13,32,16,28,28,23,14,15,14,19,22,28,NA,10,49,8,13,6,16,9,13,53,8,35,14
FOTE,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
FRGU,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FTFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GADW,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0
GBBG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
GBHE,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
GBTH,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFL,11,11,14,3,4,4,10,3,3,15,12,4,NA,12,18,11,11,8,22,27,15,9,4,15,3
GCKI,176,281,285,505,854,725,138,427,66,34,429,166,NA,61,247,163,84,151,120,172,73,139,268,390,350
GCTH,21,19,23,36,27,29,20,14,22,31,28,32,NA,22,54,70,31,57,19,25,24,18,26,39,7
GHOW,0,0,2,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA
GLGU,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GLIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRCA,188,148,195,382,229,250,349,199,172,331,382,390,NA,362,382,395,681,525,453,539,670,467,245,397,253
GREG,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRGO,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
