SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
DCCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
DEJU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,149,254,113,380,170,200,180,145,239,140,66
DICK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,3,2,4,4,8,2,5,5
DUNL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0
EABL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,0,0,0,0,0,0,0,0
EAKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,6,0,2,2,0,0,1,3
EAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
EAPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,12,3,5,6,8,6,7,9
EASO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
EATO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,7,0,3,4,15,8,7,6,8
EAWP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6,4,6,5,5,2,5,5,6,4,8
EUST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6,7,0,0,0,1,0,0,0,0,0
EUWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVGR,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,0,1,1,1,NA
EWPW,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA
EWWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,11,9,11,12,8,7,8,7,NA,NA,NA
FEHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FICR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
FISP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,10,9,10,1,2,7,8,4,5,4,5
FOSP,1,NA,3,NA,NA,NA,5,NA,NA,NA,NA,NA,60,9,10,4,23,8,2,9,5,16,1,4
FOTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA
GADW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0,0,0
GBBG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
GBHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
GBTH,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
GCFL,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,1,3,7,7,1,12,9,2,4,6
GCKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,50,300,325,218,482,61,279,83,300,64,195
GCTH,NA,5,NA,NA,11,NA,2,10,NA,NA,NA,75,66,15,20,25,28,9,18,18,5,15,9,10
GHOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
GRCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,86,97,75,73,94,68,89,88,71,55,84
GRCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
