SpeciesCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PBGR,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
PEFA,0,0,NA,NA,0,NA,0,0,0,NA,0,0,NA,0
PHVI,0,NA,NA,1,0,NA,0,1,0,0,0,0,0,0
PISI,NA,0,NA,NA,3,NA,3,0,0,NA,0,2,0,1
PIWA,NA,0,NA,NA,0,NA,NA,NA,0,0,1,NA,NA,NA
PIWO,0,1,1,0,0,0,1,0,2,0,0,0,0,0
PUFI,5,3,1,0,3,0,0,11,2,6,1,27,4,0
PUMA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
RBGR,12,9,4,7,7,2,1,1,0,0,11,5,4,6
RBGU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBME,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
RBNU,NA,0,0,0,0,0,0,0,0,0,0,0,1,0
RBWO,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
RCKI,20,58,52,92,73,36,43,54,39,71,68,97,147,65
REVI,3,2,3,2,3,2,5,3,3,7,8,7,8,4
RLHA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
RNDU,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA
RODO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROGO,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
ROPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTHU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUBL,1,1,0,0,3,0,0,4,1,0,1,4,1,0
RUGR,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0
RWBL,73,169,154,114,50,85,70,116,83,63,57,55,36,69
SACR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
SAVS,0,2,5,2,0,0,0,0,2,0,0,0,NA,0
SCTA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SEPL,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEWR,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNGO,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
SORA,0,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0
SOSA,0,0,0,1,0,0,0,0,1,1,0,0,2,1
SOSP,29,20,14,15,13,27,7,23,19,25,13,29,12,26
SPSA,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0
SSHA,0,0,0,1,0,1,1,1,0,0,1,0,1,0
SWSP,19,11,3,19,11,16,12,22,26,16,8,27,16,18
SWTH,1,1,2,1,1,1,0,1,1,4,4,3,3,19
TEWA,4,2,16,6,82,7,71,94,49,142,111,101,211,141
TRES,10,8,14,18,12,15,4,15,3,10,3,4,8,11
TRFL,5,6,7,9,15,5,19,17,16,34,25,12,23,8
TUTI,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
TUVU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNGU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNSG,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEER,1,1,1,1,4,3,1,2,2,5,4,5,6,5
VESP,NA,NA,0,NA,0,NA,0,0,NA,NA,NA,0,0,NA
VIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAVI,0,0,9,3,2,3,3,9,2,3,8,3,3,3
WBNU,1,1,0,0,0,0,0,0,1,0,0,2,0,0
WCSP,5,8,6,30,25,21,10,8,16,8,9,9,5,3
WEVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
WEWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
WIFL,NA,0,0,NA,0,0,NA,0,NA,0,1,0,NA,0
WISN,NA,NA,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA
WIWA,5,15,9,24,28,6,14,25,17,35,39,13,15,26
WIWR,NA,0,0,NA,0,0,0,0,0,2,0,NA,NA,NA
WODU,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WOTH,0,0,0,0,0,1,0,1,0,2,2,1,2,5
WTSP,29,42,13,79,34,22,51,57,40,40,39,138,110,35
WWSC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
YBCU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBFL,1,2,NA,1,NA,1,5,NA,2,1,1,2,0,1
YBSA,2,1,0,3,3,3,3,2,1,2,4,1,1,1
YEWA,47,21,29,36,43,26,30,37,43,36,34,36,37,40
YRWA,25,22,32,47,37,30,102,46,23,56,69,45,19,108
YWAR,47,21,29,36,43,26,30,37,43,36,34,36,37,40
NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
