SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PUFI,16,8,3,0,0,NA,NA,0,NA,NA,NA,NA,0,1,1,0,0,0,0,1,0,0,0,0
PUMA,NA,NA,NA,NA,0,NA,NA,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,0,0,0
RBGR,1,1,0,1,0,NA,NA,3,NA,NA,NA,NA,1,2,4,2,1,1,1,1,5,5,5,1
RBGU,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA
RBME,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBNU,NA,12,0,0,0,NA,NA,6,2,NA,NA,NA,0,1,0,0,1,0,0,1,0,0,1,0
RCKI,5,1,0,1,0,NA,NA,4,NA,NA,NA,NA,5,0,0,0,0,NA,0,1,NA,4,1,1
REDH,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0
REVI,1,8,1,6,0,NA,NA,6,NA,NA,NA,NA,4,0,1,0,0,2,1,0,0,1,0,0
RLHA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,NA,0,0,NA
RNDU,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RNGR,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
RNPH,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RODO,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROGO,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROPI,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTHA,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
RTHU,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2,3,4,0
RUBL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUDU,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA
RUGR,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
RWBL,18,4,3,0,0,NA,NA,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
SACR,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,NA
SAPH,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SAVS,10,6,13,4,0,NA,NA,1,NA,NA,NA,NA,4,0,2,0,0,0,1,1,3,0,1,7
SBDO,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEOW,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,0,0,NA
SEPL,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SESA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
SHOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
SNBU,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
SNEG,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNGO,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,0,0,0
SORA,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0
SOSA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOSP,3,5,3,3,0,NA,NA,2,NA,NA,NA,NA,4,5,1,5,4,4,2,0,3,11,9,11
SOVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
SPPI,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,0
SPSA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
SPTO,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSHA,0,0,0,2,0,NA,NA,1,NA,NA,NA,NA,NA,1,0,NA,0,0,0,NA,0,2,0,0
STGR,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWHA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,0,0,0,NA
SWSP,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA
SWTH,41,13,24,9,0,NA,NA,83,NA,NA,NA,NA,19,22,26,25,20,33,14,37,74,27,32,22
TEWA,3,17,1,1,0,NA,NA,9,NA,NA,NA,NA,0,1,0,1,2,3,0,4,3,10,14,1
TOWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
TRES,9,24,19,101,0,NA,NA,39,NA,NA,NA,NA,3,8,0,0,1,1,0,6,7,1,1,27
